scores,states
"[0, 0, 0, 0, 0, 0, 0.0119]",120100222010001102000200100010020001000000
"[0, 0, 0, 0, 0, 0, 0.0119]",120100222010001102000210100010020001002000
"[0, 0.0119, 0, 0, 0, 0, 0]",120110222010021102000210100010020001002000
"[0, 0, 0.0119, 0, 0, 0, 0]",120110222010021102000210100012020001102000
"[0, 0, -1, 0, 0, 0, 0]",122110222011021102000210100012020001102000
"[-1, 0, 0, 0, 0, 0, 0]",121120211012021202000000100000000000000000
"[0, 0, 0.03395, 0, 0, 0, 0]",120100220010001002000000100000000000000000
"[0, 0, 0, 0.0119, 0, 0, 0]",120100221010001002000200100000000000000000
"[0.0119, 0, 0, 0, 0, 0, 0]",120100221010001102000200100000020000000000
"[0, 0.0119, 0, 0, 0, 0, 0]",120100221010001102000200100020020001000000
"[0, 0.0119, 0, 0, 0, 0, 0]",120100221010001102000220100021020001000000
"[0, 0, -1, 0, 0, 0, 0]",121100221010001102000220100021020001200000
"[0, 0, 0.0119, 0, 0, 0, 0]",000100200010020002000000100000010000000000
"[0.0119, 0, 0, 0, 0, 0, 0]",200100210010020002000000100000010000000000
"[0, 0, 0, 0, 0, 0.0119, 0]",200100210010022002000100100000010000000000
"[0.0119, 0, 0, 0, 0, 0, 0]",210102210010022002000100100000010000000000
"[0.0119, 0, 0, 0, 0, 0, 0]",211102210010022002000100100020010000000000
"[0, -1, 0, 0, 0, 0, 0]",211102210110022002000100100020010002000000
"[0, 0, 0, 0, 0, 0, 0.02217]",000100200010000002000000100000020000001000
"[0, 0, 0, 0, 0.0119, 0, 0]",010100200010020002000000100000020000001000
"[-1, 0, 0, 0, 0, 0, 0]",211100200010020002000000100000020000001000
"[0.14901, 0.08344, 0.07693, 0.08042, 0.09225, 0.06431, 0.08009]",000102000010000000000000000000000000000000
"[-1, -1, -1, 0.14171, -1, -1, -1]",200102000010000001000000000000000000000000
"[0.0548, 0.06741, 0.07342, 0.06726, 0.06027, 0.0741, 0.1334]",201102000010000001000000200000000000000000
"[0, 0, 0, 0, 0.0398, 0, 0]",201102020010001001000000200000000000000000
"[0.01785, 0, 0.06504, 0.0119, 0, 0, 0]",201102020010001001000200200010000000000000
"[-1, 0, 0, 0, 0, 0, 0]",211102220010001001000200200010000000000000
"[0, 0, 0, 0, 0, 0.05222, 0]",100102000010200000000000000000000000000000
"[0.01785, 0, 0, 0, 0, 0, 0]",100102020010200001000000000000000000000000
"[0, -1, -1, 0.05731, -1, -1, -1]",002102000010000001000000000000000000000000
"[0.16142, 0.08552, 0.07771, 0.09698, 0.10116, 0.07495, 0.11189]",002100000010000000000000000000000000000000
